x, y, z
11.6277, -2.40923, -8.95362
11.6277, -2.40923, -8.95362
8.13003, 0.761079, -9.0352
8.13003, 0.761079, -9.0352
8.13003, 0.761079, -9.0352
9.07432, 0.603544, -8.71113
6.54624, 1.71249, -13.2779
6.54624, 1.71249, -13.2779
7.00064, -0.417636, -18.0614
7.00064, -0.417636, -18.0614
7.00064, -0.417636, -18.0614
5.98512, 4.55624, -17.5396
10.4203, 8.7866, -14.1338
10.4203, 8.7866, -14.1338
13.0134, 6.28488, -15.5279
14.9574, 5.04636, -17.7118
16.3623, 1.42776, -20.9153
13.5961, -0.944748, -17.8502
13.5961, -0.944748, -17.8502
11.4867, 2.69747, -20.237
11.4867, 2.69747, -20.237
11.1481, -0.615206, -18.1209
13.0496, -0.0798872, -14.551
8.97646, 2.41975, -12.2459
5.0866, -0.96491, -9.57605
5.0866, -0.96491, -9.57605
5.0866, -0.96491, -9.57605
3.04914, 1.89448, -7.5613
3.04914, 1.89448, -7.5613
-0.202595, 1.63305, -7.1072
-2.66534, 0.159261, -3.69114
-2.66534, 0.159261, -3.69114
-2.66534, 0.159261, -3.69114
-2.66534, 0.159261, -3.69114
-0.671514, 4.90191, -6.92425
-0.671514, 4.90191, -6.92425
1.62135, 0.563202, -11.2634
1.62135, 0.563202, -11.2634
1.62135, 0.563202, -11.2634
1.91037, 3.07719, -9.27265
-0.954997, 5.69595, -14.31
-0.954997, 5.69595, -14.31
-2.34896, 11.0587, -11.5355
-2.34896, 11.0587, -11.5355
-2.34896, 11.0587, -11.5355
-7.61114, 11.7864, -11.9931
-11.5918, 12.0514, -13.2687
-11.5918, 12.0514, -13.2687
-13.3284, 8.87025, -7.82871
-12.5143, 4.37282, -4.60548
-12.5143, 4.37282, -4.60548
-9.50421, 3.2436, -3.95986
-6.60501, 6.95114, -5.3968
-6.60501, 6.95114, -5.3968
-6.60501, 6.95114, -5.3968
-3.69453, 9.13728, -10.7524
-3.69453, 9.13728, -10.7524
-8.11899, 6.6123, -7.16965
-8.11899, 6.6123, -7.16965
-8.11899, 6.6123, -7.16965
-7.16738, 7.60984, -4.74778
-2.00668, 6.61391, -10.167
0.755044, 9.59363, -13.523
-4.64116, 8.70242, -11.682
-7.04439, 6.68482, -7.03999
-7.04439, 6.68482, -7.03999
-7.65029, 6.16649, -7.27697
-7.65029, 6.16649, -7.27697
-7.44314, 9.35085, -7.42021
-7.44314, 9.35085, -7.42021
-7.44314, 9.35085, -7.42021
-3.88276, 7.22783, -7.30811
-3.88276, 7.22783, -7.30811
-3.88276, 7.22783, -7.30811
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
0.808119, 5.81275, -10.8168
2.81983, 4.88158, -8.69084
2.27686, 0.853192, -8.72642
-2.65418, -0.0528202, -12.7705
-2.65418, -0.0528202, -12.7705
-0.811619, -5.55708, -12.3238
1.57073, -2.29859, -8.30582
4.81491, -6.02505, -7.22856
0.367888, -9.40626, -8.75556
-1.27846, -9.26185, -7.36145
-6.0348, -7.06707, -10.1659
-3.86143, -4.37356, -14.2617
0.500146, 0.566978, -16.1146
-4.65712, 1.46167, -15.1742
-5.7798, -3.44181, -11.7058
-5.7849, -4.78543, -6.27779
-5.7849, -4.78543, -6.27779
-5.7849, -4.78543, -6.27779
-5.7849, -4.78543, -6.27779
-4.44519, -6.13363, -3.8526
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-0.639, -1.71375, -2.61732
-5.5781, -3.36347, -8.02806
-6.68544, 1.68849, -4.40571
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-7.63931, 1.22269, -4.97378
-5.05853, -1.25993, -6.13031
-5.05853, -1.25993, -6.13031
-6.74479, -0.552205, -9.96956
-10.1665, 4.12864, -15.2315
-8.13871, -0.398985, -9.70914
-3.26938, -0.368996, -12.2681
-3.26938, -0.368996, -12.2681
-4.56661, 0.821705, -10.2925
-7.99322, 5.66154, -11.309
-11.8397, 6.9688, -14.9358
-10.4006, 11.7568, -9.74434
-10.4006, 11.7568, -9.74434
-13.981, 8.5615, -13.754
-19.3763, 4.76614, -9.09249
-22.9987, 7.39353, -10.1943
-19.2036, 12.3179, -12.9041
-19.2036, 12.3179, -12.9041
-21.5987, 8.15037, -11.834
-19.6073, 3.98972, -13.9386
